SourceFile,SearchKey,ODSCode,OrganisationName,AliasIndex,OrganisationAliasId,OrganisationAlias
page_000025.json,X10019,FND03,SMALLFIELD PHARMACY,1,17063,Smallfield Pharmacy
page_000025.json,X10019,FND03,SMALLFIELD PHARMACY,2,17064,Smallfield Chemist
page_000025.json,X10019,FND03,SMALLFIELD PHARMACY,3,26595,Alphega Pharmacy
page_000025.json,X10021,FND20,COLIN HARRIS CHEMISTS,1,17663,Bidford Pharmacy
page_000025.json,X10021,FND20,COLIN HARRIS CHEMISTS,2,17664,Colin Harris Chemists Ltd
page_000025.json,X10021,FND20,COLIN HARRIS CHEMISTS,3,24734,Bidford chemists
page_000025.json,X10021,FND20,COLIN HARRIS CHEMISTS,4,24735,Bidford on avon
page_000025.json,X10026,FND49,Day Lewis Pharmacy,1,4055,Day Lewis Pharmacy
page_000026.json,X100312,FQK48,Edwalton Pharmacy,1,16191,Edwalton Village Pharmacy
page_000026.json,X100314,FHG17,Medichem Pharmacy,1,17541,medichem pharmacy pontefract
page_000026.json,X100321,1-867088224,Seven Steps Support Ltd,1,26063,Seven Steps
page_000026.json,X100321,1-867088224,Seven Steps Support Ltd,2,26064,Seven Steps Support
page_000026.json,X100321,1-867088224,Seven Steps Support Ltd,3,26065,7 Steps
page_000026.json,X10033,FND79,R D HILL (CHEMISTS) LTD,1,25718,Robert Hill
page_000026.json,X10033,FND79,R D HILL (CHEMISTS) LTD,2,25719,R D Hill
page_000026.json,X10033,FND79,R D HILL (CHEMISTS) LTD,3,25720,Hills Chemist
page_000026.json,X100359,1-1251419801,Seven Steps Support Limited,1,26066,Seven Steps
page_000026.json,X100364,1-1156577315,Alina Homecare Ltd,1,23293,Alina
page_000026.json,X100382,Y02494,Shakespeare Medical Practice,1,4568,Shakespeare Medical Practice
page_000026.json,X10063,FNF09,NVS Pharmacy,1,16177,NVS Ltd
page_000026.json,X10063,FNF09,NVS Pharmacy,2,23926,NVS Limited
page_000026.json,X10063,FNF09,NVS Pharmacy,3,23927,NVS
page_000026.json,X100630,Y02674,Camden Health Improvement Practice,1,18337,Camden Health Improvement Practice
page_000026.json,X100636,V007046,Batheaston Dental Practice,1,25860,Little Dental Co
page_000026.json,X100636,V007046,Batheaston Dental Practice,2,25861,Batheaston Dental Rooms
page_000026.json,X100636,V007046,Batheaston Dental Practice,3,25862,Batheaston Dental Surgery
page_000026.json,X100822,RHQ17,PCASS,1,4376,PCASS
page_000026.json,X100822,RHQ17,PCASS,2,4377,Primary Care Addiction Service Sheffield
page_000026.json,X10084,FNG23,MANSONS PHARMACY,1,16774,Mansons Pharmacy
page_000026.json,X10084,FNG23,MANSONS PHARMACY,2,16775,Polypharm Ltd
page_000026.json,X10084,FNG23,MANSONS PHARMACY,3,16936,mansons chemist wandsworth 
page_000026.json,X10084,FNG23,MANSONS PHARMACY,4,16937,mansons chemist 
page_000026.json,X100873,G83004001,Marlborough Park Avenue Branch Surgery,1,18505,Barnard  Medical Group  Branch Surgery
page_000026.json,X100874,V012692,ENHANCE DENTAL CENTRE,1,26268,Dentist
page_000026.json,X100874,V012692,ENHANCE DENTAL CENTRE,2,26269,Elite
