SourceFile,SearchKey,ODSCode,OrganisationName,RelatedCCGIndex,RelatedCCGODSCode,RelatedCCGOrganisationName
page_000026.json,X100700,RKL14,Hammersmith & Fulham Talking Therapies,1,W2U3Z,NHS West And North London Icb - W2u3z
page_000026.json,X101849,NJG01,Impact on Teesside,1,16C,NHS North East And North Cumbria Icb - 16C
page_000027.json,X102126,TAJ53,Wolverhampton Talking Therapies,1,D2P2L,NHS Black Country ICB 
page_000027.json,X103378,RWK1H,Richmond Talking Therapies,1,36L,NHS South West London ICB 
page_000027.json,X103380,RWK79,Newham Talking Therapies,1,A3A8R,NHS North East London Icb - A3a8r
page_000027.json,X103380,RWK79,Newham Talking Therapies,2,71E,NHS Lincolnshire Icb - 71E
page_000027.json,X103462,RT260,NHS Bury Talking Therapies,1,00V,NHS Greater Manchester ICB 
page_000027.json,X103764,RY2X3,Think Wellbeing Halton,1,01F,NHS Cheshire and Merseyside ICB 
page_000027.json,X103764,RY2X3,Think Wellbeing Halton,2,02H,NHS Greater Manchester ICB 
page_000028.json,X104803,RY607,Leeds Mental Wellbeing Service,1,15F,NHS West Yorkshire ICB 
page_000028.json,X104803,RY607,Leeds Mental Wellbeing Service,2,X2C4Y,NHS West Yorkshire Icb - X2c4y
page_000028.json,X104803,RY607,Leeds Mental Wellbeing Service,3,03R,NHS West Yorkshire ICB 
page_000028.json,X105078,RX2H8,Health in Mind Sussex,1,97R,NHS Surrey and Sussex ICB 
page_000028.json,X105286,RH5G4,Talking Therapies - Somerset IAPT Service,1,11X,NHS Somerset ICB 
page_000028.json,X105339,RT181,CPFT Psychological Wellbeing Service,1,06H,NHS Central East ICB 
page_000028.json,X105877,RP7WK,Steps2Change Stamford,1,71E,NHS Lincolnshire Icb - 71E
page_000028.json,X105895,RP774,Steps2Change Louth,1,71E,NHS Lincolnshire Icb - 71E
page_000028.json,X105921,RT2J3,NHS Tameside and Glossop Talking Therapies,1,00V,NHS Greater Manchester ICB 
