SourceFile,SearchKey,ODSCode,OrganisationName,ServiceIndex,ServiceCode,ServiceName,AgeRangeIndex,FromAgeDays,ToAgeDays
page_000025.json,X100058,RAJ32,Mid Essex Hospital,1,SRV0001,Accident and emergency services,1,0,5843
page_000025.json,X100058,RAJ32,Mid Essex Hospital,1,SRV0001,Accident and emergency services,2,5844,47481
page_000025.json,X100133,RATJC,Basildon Hospital,1,SRV0001,Accident and emergency services,1,5844,47481
page_000026.json,X100725,RAL27,North Middlesex Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000026.json,X100733,RWELR,Rutland Memorial Hospital - University Hospitals Of Leicester NHS Trust,1,SRV0178,Urgent care centre,1,0,47481
page_000026.json,X101015,RNUCE,Bicester Community Hospital,1,SRV0178,Urgent care centre,1,0,47481
page_000026.json,X1013,RJ611,Croydon University Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000026.json,X101355,RY409,Herts & Essex Hospital,2,SRV0178,Urgent care centre,1,730,47481
page_000026.json,X1014,RTFED,Wansbeck General Hospital,2,SRV0541,Urgent Treatment Centre,1,0,47481
page_000026.json,X1016,RJL30,"Diana, Princess Of Wales Hospital",1,SRV0001,Accident and emergency services,1,0,47481
page_000026.json,X101789,RALC7,Chase Farm Hospital,2,SRV0541,Urgent Treatment Centre,1,1826,47481
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,1,0,5843
page_000026.json,X101968,RTF86,Northumbria Specialist Emergency Care Hospital,1,SRV0001,Accident and emergency services,2,5844,47481
page_000027.json,X102323,NMK59,Bracknell Healthspace,1,SRV0178,Urgent care centre,1,730,47481
page_000027.json,X102339,AD907,Ashford Hospital,1,SRV0178,Urgent care centre,1,1095,47481
page_000027.json,X1029,RRV03,University College Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,1,0,6208
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,2,5844,47481
page_000028.json,X104736,R1K01,Northwick Park Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000028.json,X104737,R1K02,Central Middlesex Hospital,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000028.json,X104739,R1K04,Ealing Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000028.json,X105106,RDU50,Wexham Park Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000028.json,X105298,RH5A8,Musgrove Park Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000028.json,X105341,RT182,North Cambridgeshire Hospital - Cambridgeshire and Peterborough NHS Foundation Trust,1,SRV0178,Urgent care centre,1,730,47481
page_000028.json,X105342,RT133,Doddington Hospital - Cambridgeshire and Peterborough NHS Foundation Trust,1,SRV0178,Urgent care centre,1,730,47481
page_000028.json,X105348,RT1FC,Princess of Wales Hospital - Cambridgeshire and Peterborough NHS Foundation Trust,1,SRV0178,Urgent care centre,1,730,47481
page_000028.json,X1057,RK5BC,King's Mill Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000029.json,X1064,RWH20,New QEII Hospital,2,SRV0541,Urgent Treatment Centre,1,365,47481
page_000029.json,X1068,RXQ02,Stoke Mandeville Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000029.json,X1070,RWF03,Maidstone Hospital,1,SRV0001,Accident and emergency services,1,365,47481
page_000029.json,X1071,RXPCW,Shotley Bridge Hospital,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000029.json,X1072,RTRAT,The James Cook University Hospital,1,SRV0001,Accident and emergency services,1,0,5843
page_000029.json,X1072,RTRAT,The James Cook University Hospital,1,SRV0001,Accident and emergency services,2,5844,47481
page_000029.json,X1080,RVV09,Queen Elizabeth The Queen Mother Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000029.json,X108146,NNF16,Bridlington Hospital - City Health Care Partnership Cic,2,SRV0541,Urgent Treatment Centre,1,0,47481
page_000029.json,X1082,RL403,New Cross Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000029.json,X1082,RL403,New Cross Hospital,3,SRV0541,Urgent Treatment Centre,1,365,47481
page_000030.json,X1088,RGP75,James Paget University Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000030.json,X1089,RP5BA,Bassetlaw Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000030.json,X1099,RM316,Rochdale Infirmary,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000031.json,X1108,RXF03,Pontefract Hospital,2,SRV0541,Urgent Treatment Centre,1,0,47481
page_000031.json,X111285,RJ842,Falmouth Hospital,1,SRV0178,Urgent care centre,1,730,47481
