SourceFile,SearchKey,ODSCode,OrganisationName,ServiceIndex,ServiceCode,ServiceName,KeyValueIndex,Key,Value
page_000025.json,X10003,FNC29,Parry Jones Pharmacy,3,SRV0514,Flu vaccination service,1,OnlineBooking,None
page_000025.json,X10009,FNC75,Boots,2,SRV0514,Flu vaccination service,1,FluJabLink,https://Boots.com
page_000025.json,X10009,FNC75,Boots,2,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000025.json,X10012,FNC81,Boustead Pharmacy,6,SRV0514,Flu vaccination service,1,FluJabLink,https://bousteadchemist.co.uk/vaccinations/seasonal-flu/
page_000025.json,X10012,FNC81,Boustead Pharmacy,6,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000025.json,X10025,FND47,WELL,3,SRV0514,Flu vaccination service,1,FluJabLink,https://well.co.uk/vaccinations/flu-jabs
page_000025.json,X10025,FND47,WELL,3,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000025.json,X10025,FND47,WELL,4,SRV0277,Flu vaccination service: adults aged 18 years or over,1,FluJabLink,https://well.co.uk/vaccinations/flu-jabs
page_000025.json,X10025,FND47,WELL,4,SRV0277,Flu vaccination service: adults aged 18 years or over,2,OnlineBooking,Web
page_000025.json,X10026,FND49,Day Lewis Pharmacy,3,SRV0514,Flu vaccination service,1,FluJabLink,https://www.daylewis.co.uk/book-your-flu-jab/
page_000025.json,X10026,FND49,Day Lewis Pharmacy,3,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000025.json,X10026,FND49,Day Lewis Pharmacy,4,SRV0277,Flu vaccination service: adults aged 18 years or over,1,FluJabLink,https://www.daylewis.co.uk/book-your-flu-jab/
page_000025.json,X10026,FND49,Day Lewis Pharmacy,4,SRV0277,Flu vaccination service: adults aged 18 years or over,2,OnlineBooking,Web
page_000026.json,X10030,FND66,Rowlands Pharmacy,5,SRV2014,Flu vaccination service: book from your pharmacy website,1,FluJabLink,https://rowlandspharmacy.co.uk/flu-vaccination
page_000026.json,X10031,FND71,Hengate Pharmacy,4,SRV0514,Flu vaccination service,1,OnlineBooking,None
page_000026.json,X100310,FKA42,Twickenham Pharmacy,3,SRV0514,Flu vaccination service,1,OnlineBooking,None
page_000026.json,X10032,FND78,Milton Road Pharmacy,4,SRV0514,Flu vaccination service,1,FluJabLink,https://miltonroadpharmacy.co.uk/book-appointment/
page_000026.json,X10032,FND78,Milton Road Pharmacy,4,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000026.json,X100380,FVK97,West Bank Pharmacy,7,SRV0514,Flu vaccination service,1,FluJabLink,https://west-bank-pharmacy.pharmacal.co.uk/schedule?type=iframe&locale=en#
page_000026.json,X100380,FVK97,West Bank Pharmacy,7,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000026.json,X100380,FVK97,West Bank Pharmacy,10,SRV2014,Flu vaccination service: book from your pharmacy website,1,FluJabLink,https://www.westbankpharmacy.com
page_000026.json,X10039,FNE00,Paydens Pharmacy,6,SRV0514,Flu vaccination service,1,FluJabLink,https://www.paydens.com
page_000026.json,X10039,FNE00,Paydens Pharmacy,6,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000026.json,X10039,FNE00,Paydens Pharmacy,9,SRV2014,Flu vaccination service: book from your pharmacy website,1,FluJabLink,https://www.paydens.com
page_000026.json,X10047,FNE33,Quayside Pharmacy Ltd,7,SRV0514,Flu vaccination service,1,OnlineBooking,None
page_000026.json,X10064,FNF16,Edlesborough Pharmacy,7,SRV0514,Flu vaccination service,1,FluJabLink,https://www.nhs.uk/nhs-services/vaccination-and-booking-services/
page_000026.json,X10064,FNF16,Edlesborough Pharmacy,7,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000026.json,X10064,FNF16,Edlesborough Pharmacy,9,SRV2014,Flu vaccination service: book from your pharmacy website,1,FluJabLink,https://edlesboroughpharmacy.co.uk/private-covid-vaccine-dunstable/
page_000026.json,X100655,FAT07,East Harling Pharmacy,10,SRV0514,Flu vaccination service,1,FluJabLink,https://www.nhs.uk
page_000026.json,X100655,FAT07,East Harling Pharmacy,10,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000026.json,X10070,FNF62,VANTAGE PHARMACY,5,SRV0514,Flu vaccination service,1,FluJabLink,https://vantage-chemist.com
page_000026.json,X10070,FNF62,VANTAGE PHARMACY,5,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000026.json,X10099,FNH01,CHURCH PHARMACY,7,SRV0514,Flu vaccination service,1,FluJabLink,https://churchpharmacyclinic.co.uk/product/influenza-vaccine/
page_000026.json,X10099,FNH01,CHURCH PHARMACY,7,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000026.json,X10112,FNH76,Tesco Instore Pharmacy,3,SRV0514,Flu vaccination service,1,FluJabLink,http://www.tesco.com/groceries/en-GB/zone/flujab
page_000026.json,X10112,FNH76,Tesco Instore Pharmacy,3,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000026.json,X10112,FNH76,Tesco Instore Pharmacy,5,SRV2014,Flu vaccination service: Book from your pharmacy website,1,FluJabLink,http://www.tesco.com/groceries/en-GB/zone/flujab
page_000026.json,X10115,FNH97,Finstead (Hoxton) Ltd,7,SRV0514,Flu vaccination service,1,FluJabLink,https://finsteadpharmacy.com
page_000026.json,X10115,FNH97,Finstead (Hoxton) Ltd,7,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000026.json,X10122,FNJ57,Sherman Chemists,13,SRV0277,Flu vaccination service,1,OnlineBooking,NBS
page_000026.json,X10122,FNJ57,Sherman Chemists,14,SRV0514,Flu vaccination service,1,FluJabLink,https://www.nhs.uk/nhs-services/vaccination-and-booking-services/book-covid-19-vaccination/
page_000026.json,X10122,FNJ57,Sherman Chemists,14,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000026.json,X101224,FL267,DAY LEWIS PHARMACY,3,SRV0514,Flu vaccination service,1,FluJabLink,https://www.daylewis.co.uk/book-your-flu-jab/
page_000026.json,X101224,FL267,DAY LEWIS PHARMACY,3,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000026.json,X101224,FL267,DAY LEWIS PHARMACY,4,SRV0277,Flu vaccination service: adults aged 18 years or over,1,FluJabLink,https://www.daylewis.co.uk/book-your-flu-jab/
page_000026.json,X101224,FL267,DAY LEWIS PHARMACY,4,SRV0277,Flu vaccination service: adults aged 18 years or over,2,OnlineBooking,Web
page_000026.json,X10125,FNJ65,Boots,3,SRV0514,Flu vaccination service,1,FluJabLink,https://boots.com
page_000026.json,X10125,FNJ65,Boots,3,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000026.json,X10128,FNJ80,Davey's Pharmacy,8,SRV0277,Flu vaccination service: adults aged 18 years or over,1,OnlineBooking,NBS
page_000026.json,X10128,FNJ80,Davey's Pharmacy,9,SRV0514,Flu vaccination service,1,FluJabLink,https://www.daveyschemist.co.uk/booking-form
page_000026.json,X10128,FNJ80,Davey's Pharmacy,9,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000026.json,X10146,FNK76,Holborn Pharmacy,6,SRV0514,Flu vaccination service,1,FluJabLink,https://www.holbornpharmacy.com/
page_000026.json,X10146,FNK76,Holborn Pharmacy,6,SRV0514,Flu vaccination service,2,OnlineBooking,Web
page_000026.json,X10146,FNK76,Holborn Pharmacy,9,SRV2014,Flu vaccination service: book from your pharmacy website,1,FluJabLink,https://www.holbornpharmacy.com
