SourceFile,SearchKey,ODSCode,OrganisationName,PeriodIndex,PeriodServiceIndex,ServiceCode,ServiceName
page_000025.json,X10000,FNC00,Boots,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000025.json,X10000,FNC00,Boots,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000025.json,X10000,FNC00,Boots,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000025.json,X10003,FNC29,Parry Jones Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000025.json,X10003,FNC29,Parry Jones Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000025.json,X10003,FNC29,Parry Jones Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000025.json,X10021,FND20,COLIN HARRIS CHEMISTS,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years (NHS service)
page_000025.json,X10021,FND20,COLIN HARRIS CHEMISTS,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over (NHS service)
page_000025.json,X10021,FND20,COLIN HARRIS CHEMISTS,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years (NHS service)
page_000025.json,X10021,FND20,COLIN HARRIS CHEMISTS,2,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years (NHS service)
page_000025.json,X10021,FND20,COLIN HARRIS CHEMISTS,2,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over (NHS service)
page_000025.json,X10021,FND20,COLIN HARRIS CHEMISTS,2,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years (NHS service)
page_000026.json,X100260,FT060,Hassengate Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years (NHS service)
page_000026.json,X100260,FT060,Hassengate Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over (NHS service)
page_000026.json,X100260,FT060,Hassengate Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years (NHS service)
page_000026.json,X100262,FQ405,McQueen's Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000026.json,X100262,FQ405,McQueen's Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000026.json,X100262,FQ405,McQueen's Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000026.json,X100262,FQ405,McQueen's Pharmacy,2,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000026.json,X100262,FQ405,McQueen's Pharmacy,2,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000026.json,X100262,FQ405,McQueen's Pharmacy,2,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000026.json,X10030,FND66,Rowlands Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000026.json,X10030,FND66,Rowlands Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000026.json,X10030,FND66,Rowlands Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000026.json,X10036,FND95,Manor Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000026.json,X10036,FND95,Manor Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000026.json,X10036,FND95,Manor Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000026.json,X10051,FNE58,WELL,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
